PIDM,Cohort,SEX,Degree,Major 1,1st Year GPA,Dorm,1st Year Retention,College,Total Earned Hours,SAT,Major 2,Advisor
315,202109F,F,BS,Mathematics,1.03,Campion Hall,0,CAS,19,,,132.0
316,202109F,F,BS,Psychology,3.71,Gonzaga Hall,1,CAS,45,,,133.0
317,202109F,F,BS,Nursing,3.55,Campion Hall,1,EGAN,49,,,93.0
318,202109F,F,BS,DSB Undeclared,3.47,Jogues Hall,1,DSB,43,1220.0,,113.0
319,202109F,F,BS,Marketing,2.67,Regis Hall,1,DSB,45,,,36.0
320,202109F,F,BA,Undeclared,2.86,Regis Hall,1,CAS,42,,,100.0
321,202109F,F,BA,Communication,3.67,Campion Hall,0,CAS,27,,,134.0
322,202109F,M,BS,Management,3.71,Loyola Hall,1,DSB,48,,,5.0
323,202109F,F,BS,Nursing,3.21,Jogues Hall,1,EGAN,55,1290.0,,50.0
324,202109F,M,BS,DSB Undeclared,2.92,Gonzaga Hall,1,DSB,46,,,123.0
325,202109F,F,BS,Nursing,3.6,Campion Hall,1,EGAN,49,1280.0,,50.0
326,202109F,F,BS,Nursing,3.11,Gonzaga Hall,1,EGAN,48,,,35.0
327,202109F,F,BA,Undeclared,3.38,Gonzaga Hall,1,CAS,45,1220.0,,108.0
328,202109F,F,BA,Undeclared,3.71,Campion Hall,1,CAS,45,,,28.0
329,202109F,F,BS,Biomedical Engineering,3.21,Campion Hall,1,SEC,50,1240.0,,60.0
330,202109F,M,BS,Biomedical Engineering,3.92,Campion Hall,1,SEC,54,,,135.0
331,202109F,F,BA,Undeclared,3.71,Regis Hall,1,CAS,48,,,133.0
332,202109F,F,BS,Accounting,3.4,Jogues Hall,0,DSB,30,,,136.0
333,202109F,F,BS,Finance,3.56,Loyola Hall,1,DSB,45,,,89.0
334,202109F,F,BS,Psychology,3.65,Jogues Hall,1,CAS,48,,,71.0
335,202109F,F,BS,Marketing,4.0,Gonzaga Hall,1,DSB,48,1400.0,,105.0
336,202109F,F,BA,Undeclared,3.52,Gonzaga Hall,1,CAS,42,,,6.0
337,202109F,F,BS,Biology,3.92,Jogues Hall,1,CAS,62,1440.0,,33.0
338,202109F,F,BSW,Social Work,2.53,Commuter,1,EGAN,48,,,137.0
339,202109F,M,BS,Marketing,2.16,Jogues Hall,0,DSB,31,,,138.0
340,202109F,M,BS,Computer Science,2.93,Gonzaga Hall,1,SEC,50,,,1.0
341,202109F,F,BA,Undeclared,3.21,Gonzaga Hall,0,CAS,32,,,81.0
342,202109F,F,BS,DSB Undeclared,3.72,Regis Hall,1,DSB,49,,,130.0
343,202109F,F,BS,Accounting,3.1,Jogues Hall,1,DSB,45,,,82.0
344,202109F,F,BS,DSB Undeclared,2.9,Gonzaga Hall,1,DSB,39,,,54.0
345,202109F,F,BS,Biology,3.32,Campion Hall,1,CAS,47,,,65.0
346,202109F,F,BS,Nursing,3.93,Campion Hall,1,EGAN,64,,,84.0
347,202109F,F,BS,Biomedical Engineering,3.78,Campion Hall,1,SEC,59,1290.0,,60.0
348,202109F,F,BA,Undeclared,3.38,Gonzaga Hall,1,CAS,45,,,36.0
349,202109F,M,BS,Finance,3.87,Gonzaga Hall,1,DSB,51,,,62.0
350,202109F,M,BS,Electrical and Computer Engineering,3.77,Campion Hall,1,SEC,48,1380.0,,139.0
351,202109F,F,BS,Nursing,2.88,Gonzaga Hall,1,EGAN,52,,,51.0
352,202109F,M,BS,Finance,3.18,Jogues Hall,1,DSB,48,1220.0,,48.0
353,202109F,F,BS,Psychology,3.13,Regis Hall,0,CAS,15,,,140.0
354,202109F,M,BS,DSB Undeclared,2.43,Regis Hall,1,DSB,39,,,18.0
355,202109F,M,BS,DSB Undeclared,3.1,Regis Hall,0,DSB,30,,,22.0
356,202109F,F,BS,Nursing,3.74,Campion Hall,1,EGAN,48,,,141.0
357,202109F,M,BS,Economics,3.22,Loyola Hall,0,DSB,9,,,88.0
358,202109F,M,BS,Economics,3.09,Jogues Hall,1,DSB,45,,,88.0
359,202109F,F,BS,Marketing,2.85,Regis Hall,0,DSB,27,1230.0,,36.0
360,202109F,M,BS,Management,3.91,Jogues Hall,1,DSB,58,,,5.0
361,202109F,M,BS,SOE Undeclared,3.23,Campion Hall,1,SEC,52,,,120.0
362,202109F,M,BS,Biology,3.03,Campion Hall,1,CAS,52,,,142.0
363,202109F,F,BS,Nursing,3.56,Campion Hall,1,EGAN,51,,,84.0
364,202109F,M,BS,Finance,3.65,Campion Hall,1,DSB,48,,,48.0
365,202109F,M,BS,Management,3.69,Jogues Hall,1,DSB,45,,,21.0
366,202109F,M,BA,Undeclared,3.07,Regis Hall,1,CAS,45,,,100.0
367,202109F,F,BA,Undeclared,3.64,Jogues Hall,1,CAS,48,,,115.0
368,202109F,F,BS,Nursing,3.8,Campion Hall,1,EGAN,51,,,55.0
369,202109F,F,BS,Nursing,3.8,Regis Hall,0,EGAN,33,,,51.0
370,202109F,F,BA,Undeclared,3.65,Loyola Hall,1,CAS,45,1380.0,,22.0
371,202109F,F,BS,Accounting,2.51,Jogues Hall,1,DSB,45,,,59.0
372,202109F,F,BA,Undeclared,3.64,Jogues Hall,1,CAS,45,,,10.0
373,202109F,F,BA,Communication,3.09,Gonzaga Hall,1,CAS,43,,,10.0
374,202109F,F,BS,Accounting,2.98,Regis Hall,1,DSB,45,,,59.0
375,202109F,F,BS,Public Health,3.59,Regis Hall,0,EGAN,32,,,143.0
376,202109F,M,BS,DSB Undeclared,3.81,Jogues Hall,1,DSB,60,,,116.0
377,202109F,M,BS,Psychology,3.51,Jogues Hall,1,CAS,45,,,12.0
378,202109F,F,BA,Undeclared,3.63,Gonzaga Hall,1,CAS,49,,,106.0
379,202109F,F,BA,Communication,3.83,Loyola Hall,1,CAS,52,,,49.0
380,202109F,F,BS,Psychology,,Jogues Hall,0,CAS,0,,,144.0
381,202109F,M,BS,DSB Undeclared,2.96,Loyola Hall,1,DSB,45,,,105.0
382,202109F,F,BA,Program on the Environment,3.69,Gonzaga Hall,1,CAS,45,,,145.0
383,202109F,F,BA,Undeclared,3.0,Regis Hall,1,CAS,45,,,46.0
384,202109F,F,BS,DSB Undeclared,3.28,Commuter,1,DSB,62,,,8.0
385,202109F,F,BA,Politics,3.98,Jogues Hall,1,CAS,58,,,115.0
386,202109F,F,BS,Finance,3.49,Regis Hall,1,DSB,45,,,41.0
387,202109F,M,BS,Finance,3.76,Regis Hall,1,DSB,45,,,122.0
388,202109F,F,BA,History,4.0,Jogues Hall,1,CAS,61,,,146.0
389,202109F,M,BS,Finance,3.13,Jogues Hall,0,DSB,30,,,62.0
390,202109F,F,BA,Communication,3.83,Gonzaga Hall,0,CAS,33,1290.0,,10.0
391,202109F,F,BS,Biology,3.89,Jogues Hall,1,CAS,64,1360.0,,31.0
392,202109F,F,BS,Nursing,3.14,Jogues Hall,0,EGAN,29,,,30.0
393,202109F,M,BA,Politics,3.8,Jogues Hall,1,CAS,48,1220.0,,147.0
394,202109F,M,BS,Finance,4.0,Jogues Hall,1,DSB,59,1430.0,,48.0
395,202109F,F,BS,Marketing,3.73,Regis Hall,1,DSB,45,,,130.0
396,202109F,F,BA,Undeclared,3.87,Commuter,1,CAS,47,,,89.0
397,202109F,F,BS,Accounting,3.85,Gonzaga Hall,1,DSB,48,1220.0,,59.0
398,202109F,F,BA,Undeclared,3.95,Regis Hall,1,CAS,50,,,148.0
399,202109F,F,BS,DSB Undeclared,3.97,Regis Hall,1,DSB,59,,,4.0
400,202109F,F,BA,Undeclared,3.93,Jogues Hall,1,CAS,60,1350.0,,65.0
401,202109F,M,BS,Biology,3.42,Campion Hall,1,CAS,43,,,81.0
402,202109F,F,BS,Marketing,3.91,Jogues Hall,1,DSB,55,1370.0,,102.0
403,202109F,F,BA,Sociology and Anthropology,3.96,Jogues Hall,1,CAS,51,1340.0,,149.0
404,202109F,F,BS,Accounting,3.92,Jogues Hall,1,DSB,69,1510.0,,82.0
405,202109F,M,BS,Business Analytics,2.89,Campion Hall,1,DSB,53,,,90.0
406,202109F,M,BS,DSB Undeclared,2.97,Jogues Hall,1,DSB,39,,,69.0
407,202109F,F,BS,Nursing,3.34,Campion Hall,1,EGAN,55,,,30.0
408,202109F,F,BS,Management,3.86,Jogues Hall,1,DSB,51,,,138.0
409,202109F,F,BS,DSB Undeclared,3.94,Loyola Hall,1,DSB,51,,,114.0
410,202109F,M,BS,DSB Undeclared,3.6,Jogues Hall,1,DSB,45,1330.0,,3.0
411,202109F,F,BS,Nursing,3.25,Campion Hall,1,EGAN,52,,,51.0
412,202109F,M,BS,Marketing,3.13,Gonzaga Hall,0,DSB,30,,,4.0
413,202109F,M,BS,Finance,3.95,Campion Hall,1,DSB,58,,,48.0
414,202109F,F,BS,Biology,2.4,Campion Hall,1,CAS,42,,,150.0
415,202109F,M,BS,SOE Undeclared,3.67,Regis Hall,1,SEC,48,1240.0,,8.0
416,202109F,M,BS,Accounting,3.67,Gonzaga Hall,1,DSB,48,,,82.0
417,202109F,M,BS,DSB Undeclared,3.87,Regis Hall,1,DSB,46,1280.0,,48.0
418,202109F,F,BS,Nursing,3.19,Campion Hall,1,EGAN,52,,,55.0
419,202109F,F,BS,Marketing,3.05,Regis Hall,1,DSB,45,,,4.0
420,202109F,M,BS,DSB Undeclared,3.53,Regis Hall,1,DSB,45,,,72.0
421,202109F,F,BS,Biology,2.58,Regis Hall,1,CAS,33,,,33.0
422,202109F,F,BA,Undeclared,3.49,Regis Hall,1,CAS,39,,,36.0
423,202109F,F,BA,Undeclared,3.85,Gonzaga Hall,1,CAS,56,,,34.0
424,202109F,F,BS,Psychology,3.69,Regis Hall,1,CAS,61,1210.0,,65.0
425,202109F,F,BS,Marketing,3.49,Loyola Hall,1,DSB,46,1210.0,,105.0
426,202109F,F,BS,Nursing,3.95,Jogues Hall,1,EGAN,66,,,151.0
427,202109F,F,BS,Business Analytics,3.52,Campion Hall,1,DSB,46,,,68.0
428,202109F,F,BS,Nursing,3.58,Gonzaga Hall,1,EGAN,51,,,55.0
429,202109F,F,BS,Biology,3.76,Jogues Hall,1,CAS,62,,,81.0
430,202109F,M,BS,Finance,3.3,Gonzaga Hall,1,DSB,46,,,69.0
431,202109F,F,BS,Nursing,3.76,Campion Hall,1,EGAN,51,,,151.0
432,202109F,F,BS,Psychology,3.5,Gonzaga Hall,1,CAS,52,,,152.0
433,202109F,F,BS,Finance,3.44,Regis Hall,1,DSB,57,,,102.0
434,202109F,M,BS,DSB Undeclared,3.4,Loyola Hall,1,DSB,45,,,45.0
435,202109F,F,BS,Nursing,3.45,Campion Hall,1,EGAN,48,1360.0,,67.0
436,202109F,M,BS,DSB Undeclared,3.38,Loyola Hall,1,DSB,45,,,116.0
437,202109F,M,BS,DSB Undeclared,3.96,Gonzaga Hall,1,DSB,45,1440.0,,80.0
438,202109F,F,BS,DSB Undeclared,4.0,Jogues Hall,1,DSB,49,,,8.0
439,202109F,M,BS,Business Analytics,3.42,Jogues Hall,1,DSB,51,1100.0,,80.0
440,202109F,M,BA,Undeclared,2.55,Jogues Hall,1,CAS,34,,,153.0
441,202109F,M,BS,Finance,2.8,Regis Hall,1,DSB,45,,,48.0
442,202109F,M,BS,Accounting,3.83,Loyola Hall,1,DSB,52,,,82.0
443,202109F,F,BA,Undeclared,3.09,Regis Hall,1,CAS,43,,,154.0
444,202109F,F,BS,Nursing,3.26,Gonzaga Hall,1,EGAN,48,,,30.0
445,202109F,M,BS,DSB Undeclared,3.17,Jogues Hall,1,DSB,42,,,155.0
446,202109F,F,BA,Undeclared,3.69,Regis Hall,1,CAS,46,,,71.0
447,202109F,F,BS,Nursing,3.46,Loyola Hall,1,EGAN,49,,,97.0
448,202109F,M,BS,DSB Undeclared,3.12,Regis Hall,1,DSB,42,1190.0,,70.0
449,202109F,F,BS,DSB Undeclared,3.33,Gonzaga Hall,1,DSB,45,,,36.0
450,202109F,M,BA,Undeclared,1.7,Campion Hall,0,CAS,30,,,22.0
451,202109F,F,BA,Communication,3.27,Jogues Hall,1,CAS,45,,,106.0
452,202109F,F,BS,Nursing,3.67,Regis Hall,1,EGAN,62,,,124.0
453,202109F,F,BA,Undeclared,3.85,Gonzaga Hall,1,CAS,45,,,23.0
454,202109F,F,BS,DSB Undeclared,3.09,Gonzaga Hall,1,DSB,45,,,4.0
455,202109F,F,BS,Finance,3.29,Commuter,1,DSB,45,,,54.0
456,202109F,M,BS,Psychology,3.28,Loyola Hall,1,CAS,36,,,71.0
457,202109F,M,BS,Economics,3.16,Loyola Hall,1,DSB,45,,,156.0
458,202109F,F,BS,Nursing,3.79,Regis Hall,1,EGAN,56,1250.0,,50.0
459,202109F,F,BA,Undeclared,3.04,Regis Hall,0,CAS,27,,,157.0
460,202109F,F,BS,Nursing,2.64,Jogues Hall,1,EGAN,51,,,75.0
461,202109F,F,BS,Psychology,3.78,Regis Hall,1,CAS,51,,,65.0
462,202109F,F,BA,Visual & Performing Arts,3.53,Gonzaga Hall,1,CAS,45,,,158.0
463,202109F,M,BS,Economics,3.98,Jogues Hall,1,DSB,65,,,88.0
464,202109F,F,BS,Psychology,3.32,Loyola Hall,1,CAS,50,,,152.0
465,202109F,F,BS,Psychology,3.83,Regis Hall,1,CAS,49,,,130.0
466,202109F,M,BS,DSB Undeclared,3.62,Jogues Hall,1,DSB,66,1460.0,,8.0
467,202109F,M,BS,DSB Undeclared,3.67,Gonzaga Hall,1,DSB,46,1250.0,,59.0
468,202109F,F,BA,Communication,3.4,Loyola Hall,1,CAS,45,,,34.0
469,202109F,F,BA,Communication,2.73,Jogues Hall,1,CAS,45,1150.0,,106.0
470,202109F,F,BS,DSB Undeclared,3.88,Jogues Hall,1,DSB,58,,,59.0
471,202109F,M,BS,Finance,3.58,Jogues Hall,1,DSB,45,,,48.0
472,202109F,F,BS,DSB Undeclared,3.51,Loyola Hall,1,DSB,45,1250.0,,116.0
473,202109F,F,BS,DSB Undeclared,2.86,Regis Hall,1,DSB,42,,,85.0
474,202109F,F,BS,Biomedical Engineering,3.6,Campion Hall,1,SEC,57,,,159.0
475,202109F,M,BS,Finance,3.84,Jogues Hall,1,DSB,49,,,63.0
476,202109F,F,BS,DSB Undeclared,3.96,Loyola Hall,1,DSB,49,,,116.0
477,202109F,M,BS,Accounting,3.62,Loyola Hall,1,DSB,45,,,113.0
478,202109F,M,BS,Finance,3.22,Gonzaga Hall,1,DSB,45,,,70.0
479,202109F,F,BS,Computer Science,3.52,Campion Hall,1,SEC,54,,,160.0
480,202109F,F,BA,Undeclared,2.72,Jogues Hall,1,CAS,36,,,161.0
481,202109F,F,BS,Nursing,3.33,Loyola Hall,1,EGAN,49,,,50.0
482,202109F,F,BA,Sports Media,3.13,Regis Hall,1,CAS,45,,,49.0
483,202109F,F,BA,Visual & Performing Arts,3.24,Loyola Hall,1,CAS,45,,,162.0
484,202109F,M,BS,Management,3.43,Campion Hall,1,DSB,46,,,85.0
485,202109F,M,BS,Finance,3.94,Jogues Hall,1,DSB,52,1330.0,,48.0
486,202109F,F,BS,Nursing,3.89,Gonzaga Hall,1,EGAN,55,,,97.0
487,202109F,M,BS,Finance,3.73,Commuter,1,DSB,46,1140.0,,48.0
488,202109F,F,BS,Psychology,3.51,Gonzaga Hall,1,CAS,45,,,163.0
489,202109F,F,BS,Marketing,3.24,Campion Hall,1,DSB,45,,,21.0
490,202109F,F,BA,Visual & Performing Arts,3.89,Jogues Hall,1,CAS,55,1340.0,,128.0
491,202109F,M,BS,Nursing,4.0,Campion Hall,1,EGAN,54,1390.0,,93.0
492,202109F,F,BA,Politics,3.89,Gonzaga Hall,1,CAS,54,,,115.0
493,202109F,F,BS,Management,3.98,Jogues Hall,1,DSB,48,1350.0,,89.0
494,202109F,M,BS,Psychology,2.64,Regis Hall,1,CAS,45,1300.0,,133.0
495,202109F,M,BS,DSB Undeclared,2.36,Jogues Hall,1,DSB,42,,,18.0
496,202109F,F,BA,Undeclared,3.36,Loyola Hall,1,CAS,46,1150.0,,164.0
497,202109F,M,BS,DSB Undeclared,3.67,Regis Hall,1,DSB,46,1350.0,,53.0
498,202109F,F,BS,Marketing,3.7,Regis Hall,0,DSB,30,,,6.0
499,202109F,F,BS,Marketing,3.7,Loyola Hall,1,DSB,52,,,6.0
500,202109F,F,BS,Nursing,3.51,Campion Hall,1,EGAN,50,1390.0,,17.0
501,202109F,F,BS,Nursing,2.85,Campion Hall,1,EGAN,49,,,26.0
502,202109F,M,BS,Accounting,3.62,Jogues Hall,1,DSB,49,1320.0,,59.0
503,202109F,F,BS,DSB Undeclared,3.47,Loyola Hall,1,DSB,45,,,41.0
504,202109F,F,BS,Nursing,3.59,Gonzaga Hall,1,EGAN,49,1360.0,,67.0
505,202109F,M,BS,DSB Undeclared,3.84,Regis Hall,1,DSB,51,1400.0,,116.0
506,202109F,F,BS,Nursing,3.93,Gonzaga Hall,1,EGAN,49,,,50.0
507,202109F,F,BS,Psychology,3.81,Campion Hall,1,CAS,46,,,65.0
508,202109F,F,BS,Business Analytics,3.47,Loyola Hall,1,DSB,45,,,68.0
509,202109F,M,BS,DSB Undeclared,3.49,Regis Hall,1,DSB,45,,,53.0
510,202109F,F,BS,Nursing,3.63,Regis Hall,1,EGAN,49,,,35.0
511,202109F,M,BS,Accounting,3.74,Regis Hall,1,DSB,55,1430.0,,82.0
512,202109F,M,BA,History,3.64,Gonzaga Hall,1,CAS,43,,,47.0
513,202109F,M,BS,Computer Science,3.35,Campion Hall,1,SEC,48,,,11.0
514,202109F,M,BS,Mechanical Engineering,3.43,Gonzaga Hall,1,SEC,46,1250.0,,139.0
515,202109F,F,BA,Undeclared,3.63,Jogues Hall,1,CAS,56,,,133.0
516,202109F,M,BA,Undeclared,3.83,Jogues Hall,1,CAS,48,,,82.0
517,202109F,M,BS,Economics,3.84,Jogues Hall,1,DSB,49,1440.0,,28.0
518,202109F,M,BA,Program on the Environment,3.39,Campion Hall,0,CAS,34,,,165.0
519,202109F,M,BS,DSB Undeclared,3.4,Jogues Hall,1,DSB,45,,,166.0
520,202109F,M,BS,Finance,3.78,Regis Hall,1,DSB,45,,,62.0
521,202109F,M,BS,Biology,3.15,Jogues Hall,1,CAS,41,,,130.0
522,202109F,M,BS,DSB Undeclared,3.93,Loyola Hall,1,DSB,55,,,63.0
523,202109F,F,BS,Nursing,3.64,Regis Hall,1,EGAN,61,,,55.0
524,202109F,F,BS,Nursing,3.33,Regis Hall,1,EGAN,49,,,55.0
525,202109F,F,BA,Undeclared,2.91,Regis Hall,1,CAS,46,,,152.0
526,202109F,F,BS,Nursing,3.24,Campion Hall,1,EGAN,48,,,12.0
527,202109F,M,BS,Finance,3.6,Regis Hall,1,DSB,45,,,13.0
528,202109F,M,BS,DSB Undeclared,3.44,Gonzaga Hall,1,DSB,46,,,53.0
529,202109F,F,BS,Nursing,3.98,Campion Hall,1,EGAN,55,,,35.0
530,202109F,F,BS,Biology,,Campion Hall,0,CAS,0,,,
531,202109F,F,BA,Visual & Performing Arts,3.73,Regis Hall,1,CAS,45,,,0.0
532,202109F,F,BA,Undeclared,3.8,Regis Hall,1,CAS,45,,,0.0
533,202109F,F,BA,Undeclared,3.23,Loyola Hall,1,CAS,46,,,71.0
534,202109F,M,BS,DSB Undeclared,2.78,Gonzaga Hall,1,DSB,39,,,80.0
535,202109F,M,BA,Program on the Environment,3.12,Regis Hall,1,CAS,42,,,77.0
536,202109F,F,BS,Mathematics,3.71,Campion Hall,1,CAS,60,,,78.0
537,202109F,F,BS,Biology,2.62,Campion Hall,1,CAS,46,,,12.0
538,202109F,F,BS,Psychology,3.66,Jogues Hall,1,CAS,53,1220.0,,133.0
539,202109F,F,BS,Accounting,3.46,Jogues Hall,1,DSB,46,1440.0,,82.0
540,202109F,M,BA,History,3.71,Jogues Hall,1,CAS,45,,,127.0
541,202109F,F,BA,Undeclared,3.96,Regis Hall,1,CAS,60,,,25.0
542,202109F,F,BA,Politics,3.98,Jogues Hall,1,CAS,64,1330.0,,152.0
543,202109F,F,BS,Marketing,2.77,Campion Hall,1,DSB,48,,,4.0
544,202109F,M,BS,Nursing,3.77,Campion Hall,1,EGAN,52,,,84.0
545,202109F,F,BS,DSB Undeclared,3.67,Gonzaga Hall,1,DSB,45,,,4.0
546,202109F,F,BA,Undeclared,3.49,Commuter,1,CAS,45,,,34.0
547,202109F,F,BS,Nursing,3.47,Campion Hall,1,EGAN,48,,,55.0
548,202109F,M,BS,DSB Undeclared,3.31,Gonzaga Hall,1,DSB,45,1330.0,,25.0
549,202109F,F,BS,DSB Undeclared,3.22,Gonzaga Hall,1,DSB,45,,,36.0
550,202109F,M,BS,DSB Undeclared,2.95,Jogues Hall,1,DSB,42,,,36.0
551,202109F,M,BS,Finance,3.73,Jogues Hall,1,DSB,45,1310.0,,13.0
552,202109F,F,BS,Nursing,3.76,Campion Hall,1,EGAN,48,,,35.0
553,202109F,M,BS,DSB Undeclared,4.0,Jogues Hall,1,DSB,48,,,70.0
554,202109F,F,BS,Nursing,3.11,Gonzaga Hall,1,EGAN,48,,,30.0
555,202109F,F,BS,Nursing,3.99,Campion Hall,1,EGAN,53,,,93.0
556,202109F,M,BS,Computer Science,2.83,Campion Hall,1,SEC,47,,,0.0
557,202109F,F,BS,Nursing,3.64,Regis Hall,1,EGAN,48,1270.0,,50.0
558,202109F,M,BS,Mechanical Engineering,2.42,Loyola Hall,1,SEC,52,,,0.0
559,202109F,M,BS,Finance,4.0,Regis Hall,1,DSB,64,,,13.0
560,202109F,M,BA,Undeclared,2.58,Regis Hall,1,CAS,45,1340.0,,34.0
561,202109F,M,BS,Finance,3.49,Jogues Hall,1,DSB,45,,,102.0
562,202109F,F,BS,Nursing,3.96,Regis Hall,1,EGAN,56,,,97.0
563,202109F,F,BA,Undeclared,3.47,Gonzaga Hall,1,CAS,51,,,39.0
564,202109F,F,BS,Nursing,3.61,Regis Hall,1,EGAN,51,,,75.0
565,202109F,F,BS,Biology,3.18,Campion Hall,1,CAS,46,,,152.0
566,202109F,M,BA,Undeclared,3.08,Gonzaga Hall,1,CAS,40,,,62.0
567,202109F,F,BS,Psychology,3.72,Loyola Hall,0,CAS,29,,,71.0
568,202109F,F,BS,Psychology,1.26,Campion Hall,0,CAS,18,,,71.0
569,202109F,F,BA,Communication,3.62,Jogues Hall,1,CAS,45,,,121.0
570,202109F,M,BS,DSB Undeclared,2.62,Regis Hall,1,DSB,42,,,56.0
571,202109F,F,BA,Visual & Performing Arts,3.3,Regis Hall,0,CAS,27,,,0.0
572,202109F,F,BS,Marketing,3.4,Regis Hall,0,DSB,24,,,36.0
573,202109F,F,BS,DSB Undeclared,3.97,Loyola Hall,0,DSB,30,,,111.0
574,202109F,F,BS,Psychology,4.0,Jogues Hall,1,CAS,62,1350.0,,133.0
575,202109F,F,BA,Undeclared,3.78,Commuter,1,CAS,45,,,105.0
576,202109F,F,BS,Nursing,2.15,Jogues Hall,1,EGAN,36,,,133.0
577,202109F,M,BS,DSB Undeclared,3.42,Gonzaga Hall,1,DSB,45,,,53.0
578,202109F,F,BS,Nursing,3.45,Regis Hall,1,EGAN,49,,,50.0
579,202109F,M,BA,Communication,1.38,Jogues Hall,0,CAS,15,,,10.0
580,202109F,M,BS,Accounting,3.47,Regis Hall,1,DSB,45,1320.0,,89.0
581,202109F,M,BS,DSB Undeclared,3.79,Regis Hall,1,DSB,48,,,16.0
582,202109F,F,BA,Program on the Environment,0.25,Regis Hall,0,CAS,1,1270.0,,165.0
583,202109F,F,BA,Communication,3.71,Jogues Hall,1,CAS,45,,,10.0
584,202109F,F,BS,Public Health,3.16,Jogues Hall,1,EGAN,43,,,131.0
585,202109F,F,BA,Undeclared,3.77,Campion Hall,1,CAS,48,,,0.0
586,202109F,M,BS,Finance,2.89,Loyola Hall,1,DSB,45,,,53.0
587,202109F,F,BA,Undeclared,3.88,Jogues Hall,1,CAS,48,,,68.0
588,202109F,M,BA,Undeclared,2.51,Gonzaga Hall,1,CAS,45,,,22.0
589,202109F,M,BA,American Studies,3.67,Regis Hall,1,CAS,54,,,0.0
590,202109F,F,BS,Nursing,3.55,Gonzaga Hall,1,EGAN,56,,,17.0
591,202109F,M,BA,Sports Media,2.36,Jogues Hall,1,CAS,45,,,18.0
592,202109F,F,BS,DSB Undeclared,3.77,Jogues Hall,1,DSB,53,,,123.0
593,202109F,F,BS,DSB Undeclared,3.67,Campion Hall,1,DSB,46,1180.0,,0.0
594,202109F,F,BS,Nursing,3.48,Gonzaga Hall,1,EGAN,52,,,75.0
595,202109F,M,BA,Undeclared,2.51,Gonzaga Hall,1,CAS,42,1230.0,,0.0
596,202109F,F,BA,Sports Media,2.14,Loyola Hall,1,CAS,33,,,56.0
597,202109F,F,BS,DSB Undeclared,4.0,Jogues Hall,1,DSB,59,1380.0,,125.0
598,202109F,F,BS,Nursing,3.45,Campion Hall,1,EGAN,49,,,35.0
599,202109F,M,BS,Chemistry,3.98,Campion Hall,1,CAS,54,1270.0,,57.0
600,202109F,F,BS,Psychology,3.78,Jogues Hall,1,CAS,45,,,6.0
601,202109F,F,BS,Management,3.54,Regis Hall,1,DSB,49,,,21.0
602,202109F,F,BS,Chemistry,3.61,Campion Hall,1,CAS,51,,,0.0
603,202109F,F,BA,Undeclared,3.41,Campion Hall,1,CAS,44,,,133.0
604,202109F,M,BS,Biology,3.08,Campion Hall,1,CAS,47,1280.0,,66.0
605,202109F,F,BS,International Business,3.62,Gonzaga Hall,1,DSB,48,1310.0,,48.0
606,202109F,M,BS,Biology,3.98,Jogues Hall,1,CAS,58,,,96.0
607,202109F,F,BA,Undeclared,3.88,Gonzaga Hall,1,CAS,47,1320.0,,33.0
608,202109F,M,BS,DSB Undeclared,2.11,Loyola Hall,1,DSB,42,,,4.0
609,202109F,F,BS,Nursing,3.5,Jogues Hall,1,EGAN,50,1230.0,,17.0
610,202109F,F,BS,Psychology,2.67,Gonzaga Hall,0,CAS,9,,,0.0
611,202109F,M,BS,DSB Undeclared,3.82,Regis Hall,1,DSB,45,1350.0,,48.0
612,202109F,F,BS,Marketing,3.56,Commuter,1,DSB,55,,,4.0
613,202109F,F,BS,DSB Undeclared,3.41,Regis Hall,1,DSB,46,,,98.0
614,202109F,F,BS,Marketing,3.93,Regis Hall,1,DSB,45,,,6.0
615,202109F,F,BS,DSB Undeclared,3.87,Regis Hall,1,DSB,45,,,62.0
616,202109F,F,BS,Nursing,2.97,Jogues Hall,1,EGAN,49,,,51.0
617,202109F,F,BS,Nursing,3.82,Campion Hall,1,EGAN,60,,,50.0
618,202109F,F,BS,Psychology,3.91,Gonzaga Hall,1,CAS,45,,,152.0
619,202109F,F,BS,Nursing,3.52,Campion Hall,1,EGAN,49,,,35.0
620,202109F,M,BS,Finance,3.53,Regis Hall,1,DSB,45,,,48.0
621,202109F,F,BS,Nursing,3.32,Gonzaga Hall,0,EGAN,36,,,30.0
622,202109F,F,BS,Psychology,3.23,Regis Hall,1,CAS,62,,,46.0
623,202109F,F,BS,Nursing,3.38,Jogues Hall,1,EGAN,53,,,30.0
624,202109F,M,BS,Finance,3.42,Regis Hall,1,DSB,45,,,48.0
625,202109F,M,BS,Finance,3.96,Campion Hall,1,DSB,46,1260.0,,54.0
626,202109F,F,BS,DSB Undeclared,3.88,Loyola Hall,1,DSB,49,,,91.0
627,202109F,M,BS,Mathematics,3.89,Jogues Hall,1,CAS,49,1460.0,,118.0
628,202109F,M,BS,DSB Undeclared,3.47,Gonzaga Hall,1,DSB,54,,,91.0
629,202109F,M,BS,Finance,3.71,Regis Hall,1,DSB,45,,,48.0
630,202109F,F,BA,English,3.93,Jogues Hall,1,CAS,51,1310.0,,136.0
631,202109F,F,BS,Nursing,3.53,Regis Hall,1,EGAN,49,,,50.0
